排名,城市,2012年GDP(亿元),2013年GDP(亿元),较2012年实际增长率,所属
1,上海市,20101.33,21602.12,7.70%,?（沪）
2,北京市,17801.02,19500.6,7.70%,?（京）
3,广州市,13551.21,15420.14,11.60%,（广东1）
4,深圳市,12950.08,14500.23,10.50%,（广东2）
5,天津市,12885.18,14370.16,12.50%,?（津）
6,苏州市,12011.65,13015.7,9.80%,（江苏1）
7,重庆市,11459,12656.69,12.30%,（渝）
8,成都市,8138.94,9108.89,10.10%,?（四川1）
9,武汉市,8003.82,9051.27,10.00%,（湖北1）
10,杭州市,7803.98,8343.52,8.00%,（浙江1）
11,无锡市,7568.15,8070.18,9.30%,?（江苏2）
12,南京市,7201.57,8011.78,11.00%,（江苏3）
13,青岛市,7302.11,8006.6,10.00%,?（山东1）
14,大连市,7002.8,7650.8,9.00%,（辽宁1）
15,沈阳市,6606.8,7223.7,10.00%,（辽宁2）
16,长沙市,6399.91,7153.13,12.00%,（湖南1）
17,宁波市,6524.7,7128.9,8.10%,（浙江2）
18,佛山市,6709.02,7010.17,10.00%,（广东3）
19,郑州市,5547,6201.9,10.00%,（河南1）
20,唐山市,5861.63,6121.2,8.50%,（河北1）
21,烟台市,5281.38,5613.87,10.20%,（山东2）
22,东莞市,5010.14,5490.02,9.80%,（广东4）
23,济南市,4812.68,5230.19,9.60%,（山东3）
24,泉州市,4726.5,5218,11.50%,（福建1）
25,哈尔滨市,4550.1,5141.5,9.00%,（黑龙江1）
26,南通市,4558.67,5038.89,8.50%,（江苏4）
27,长春市,4506.6,5003.17,9.00%,（吉林1）
28,西安市,4369.37,4884.1,11.10%,（陕西1）
29,石家庄市,4500.2,4863.6,9.50%,（河北2）
30,福州市,4218.29,4678.5,11.50%,（福建2）
31,合肥市,4164.34,4672.9,11.50%,（安徽1）
32,徐州市,4020.46,4435.82,11.80%,（江苏6）
33,潍坊市,4012.43,4420.7,10.60%,（山东4）
34,常州市,3969.75,4360.93,10.90%,（江苏5）
35,大庆市,4000.5,4332.7,11.10%,（黑龙江2）
36,温州市,3650.06,4003.86,7.70%,（浙江3）
37,绍兴市,3620.1,3967.29,8.50%,（浙江4）
38,鄂尔多斯,3660.5,3955.9,9.60%,（内蒙古1）
39,淄博市,3557.2,3801.24,9.50%,（山东5）
40,包头市,3409.5,3503.02,9.30%,（内蒙古2）
41,济宁市,3189.37,3501.5,11.00%,（山东6）
42,盐城市,3120,3475.5,12.50%,(江苏7)
43,昆明市,3011.14,3450,14.10%,（云南1）
44,临沂市,3012.8,3336.8,11.40%,（山东8）
45,南昌市,3000.52,3336.03,10.70%,(江西1)
46,扬州市,2933.2,3252.01,12.00%,（江苏8）
47,东营市,3000.66,3250.2,11.20%,（山东7）
48,台州市,2927.34,3153.34,7.90%,（浙江5）
49,嘉兴市,2884.94,3147.66,9.30%,（浙江6）
50,洛阳市,3001.1,3136.14,7.00%,（河南2）
51,邯郸市,3023.7,3061.5,7.30%,（河北3）
52,沧州市,2811.89,3013,9.00%,（河北4）
53,厦门市,2817.07,3018.16,9.50%,（福建3）
54,泰州市,2701.67,3006.91,12.00%,（江苏9）
55,金华市,2700.12,2958.78,9.10%,（浙江7）
56,镇江市,2630.05,2927.09,12.10%,（江苏10）
57,榆林市,2769.22,2846.75,8.80%,（陕西2）
58,宜昌市,2508.89,2816,11.50%,（湖北2）
59,襄阳市,2501.96,2814,11.40%,（湖北3）
